"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
1240798,"SeaMonkey","Startup & Profiles","frgrahl","ASSIGNED"," ---","Copy default profile files to new profiles since Bug 1234012 stopped doing that for us. Or backout Bug 1234012 on a SeaMonkey Release branch","2016-07-10 23:19:16"
1061348,"SeaMonkey","Build Config","iann_bugzilla","ASSIGNED"," ---","Port |Bug 575283 - Cleanup mozconfig files on all platforms| to SeaMonkey","2015-09-15 05:11:20"
527444,"Core","General","josh","ASSIGNED"," ---","Stop using tail_ files in xpcshell: use do_register_cleanup() instead, in Core and Toolkit","2016-01-11 07:06:42"
684487,"SeaMonkey","General","komh","ASSIGNED"," ---","IME input box is always placed at bottom-left corner of the screen","2012-07-11 23:57:29"
825224,"Firefox OS","GonkIntegration","nobody","ASSIGNED"," ---","Make DEBUG=1 profiles pick up l10n files correctly","2015-07-24 04:37:30"
1248498,"Firefox","Developer Tools: Debugger","jryans","ASSIGNED"," ---","Debugger shows stale HTML files if toolbox disabled caching","2016-04-13 07:55:15"
658544,"Toolkit","Places","sciarp","ASSIGNED"," ---","Cleanup profiles from old and useless places.sqlite.corrupt files","2015-12-24 06:12:26"
208680,"Bugzilla","Installation & Upgrading","dylan","REOPENED"," ---","Support read only filesystems and load params from db","2016-07-07 12:08:35"
980798,"Core","Build Config","nobody","REOPENED"," ---","clobber needed after bug 979909 (renaming some pdf.js files) - red mac builds with ""package-manifest:424: File missing in ../../dist: [...]/PdfRedirector.js"" and ""PdfStreamConverter.js""","2014-12-22 23:56:20"
1003945,"Core","Build Config","nobody","REOPENED"," ---","Changing preprocessor defines doesn't re-preprocess preprocessed WebIDL files (Clobber needed after landing bug 852935)","2014-12-22 23:56:37"
1091822,"Core","Build Config","nobody","REOPENED"," ---","Bug 1087560 required a clobber due to renaming files in a test manifest","2014-12-22 23:57:41"
121006,"Other Applications","Venkman JS Debugger","rginda","REOPENED"," ---","XUL files can't be displayed","2008-05-05 07:03:17"
751901,"Firefox","Developer Tools: Source Editor","nobody","REOPENED"," ---","Slow Source View in Debugger on large files","2014-06-22 02:47:45"
